Age,Communication,Documents,Education,Experience,Gender,Job Type,Others,Ownership,Shift Timings,Skills,Working Days,experience,location,salary_max,salary_min
18 - 31 yrs,Good Hindi skills - Ability to SpeakCompulsory,Aadhar Card     Voter ID,12th pass preferred,Freshers as Admin Executive preferred,,Full Time,,,,,6 days,Freshers can Apply,Dr Rajendra Nagar,,
18 - 31 yrs,Excellent Hindi skills - Ability to Speak,Voter ID     Photos     Aadhar Card     Pan Card,Graduation degree mandatoryCompulsory,0 to 1 yr of experience as Admin Executive preferred,,Full Time,,Feature Phone     Bike/Scooter     Cycle,10:00 AM - 6:30 PM(day shift|for Male Candidates only),MS ExcelCompulsory      Executive Team,6 days,Freshers can Apply1 yr experience,Idgah Colony,,
18 - 32 yrs,Functional Hindi skills - Ability to Speak,,,,,,,,,,,,,,
18 - 30 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 32 yrs,Good Hindi skills - Ability to Speak,Aadhar Card     2-Wheeler Driving License,12th pass preferred,Freshers as Admin Executive preferred,,Full Time,,,,,6 days,Freshers can Apply,Dum Dum,,
18 - 28 yrsCompulsory,Good English skills - Ability to Speak & Read     Good Hindi skills - Ability to Speak     Good Bengali skills - Ability to Speak,Pan CardCompulsory      Aadhar CardCompulsory      Passport     Marksheets and Degree,Below 10th allowed,Freshers as Admin Executive or Air Hostess in Aviation / Airlines preferred,,Full Time,Candidates should carry Updated CV & original ID proofCompulsory,Laptop required     Android Phone,12:00 PM - 8:00 PM(day shift)  9:00 AM - 5:00 PM(day shift)  11:00 AM - 7:00 PM(day shift)  10:30 AM - 6:30 PM(day shift),Good communication skillsCompulsory      teamwork,6 days  (Alternate Sunday Off),Freshers can Apply| Resume Required,Newtown,,
18 - 35 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 45 yrs,,,Below 10th allowed     Bachelor of Commerce (B.Com.) preferred,Minimum 6 months of experience as Admin Executive in Other preferred,,Full Time,,,9:30 AM - 6:30 PM(day shift),AccountancyAdministrative LawCompulsory      CommunicationClient Presentation,6 days  (Any day in week),6 months experience| Resume Required,Kokapet,,
18 - 30 yrs,Fluent English skills - Ability to Speak & Read,Photos     Voter ID     Pan Card     Aadhar Card     2-Wheeler Driving License,Post Graduation mandatoryCompulsory      Master of Business Administration (M.B.A.)/Post Graduate Diploma in Management (P.G.D.M.) in Marketing,,,,,,,,,,,,
30 - 35 yrs,Fluent English skills - Ability to Speak     Fluent Hindi skills - Ability to Speak     Fluent Telugu skills - Ability to Speak,Photos     Aadhar Card,Graduation degree preferred     Bachelor of Commerce (B.Com.) in Commerce preferred,2 yrs to 3 yrs of experience as Admin Executive in Other preferred,Female preferred,Full Time,IMMEDIATELY,,9:30 AM - 6:30 PM(day shift),tally ERP9Compulsory      Executive Leadership,6 days  (sunday holiday),2 yrsto3 yrs experience,Tiruchanur,,
Above 18 yrs,,,10th pass preferred,Freshers as Admin Executive preferred,,Part Time,10:00 AM - 7:00 PM(day shift),AccountancyAccounting StandardsActiveX Data Objects (ADO)Compulsory,5 days  (Sunday,,,,,,
