Age,Communication,Documents,Education,Experience,Job Benefits,Job Type,Others,Shift Timings,Skills,Working Days,experience,location,salary_max,salary_min
20 - 30 yrsCompulsory,Good Hindi skills - Ability to SpeakCompulsory      Fluent English skills - Ability to SpeakCompulsory,,12th pass mandatoryCompulsory, 6 months to 3 yrs of experience as Customer Care or Telesales / Telemarketing in BPO / ITES mandatoryCompulsory,PF & ESIC  Additional Incentives,Full Time,candidates should be within 15-17 KMCompulsory      Candidate should know English & HindiCompulsory      Candidate Should not have any work Experience in Real Estate IndustryCompulsory,8:00 AM - 8:00 PM(day shift)  8:00 AM - 11:00 PM(day shift|for Male Candidates only),excellent communicationconvincing skillsConfidentCustomer SatisfactionCompulsory,6 days  (Any 1 day rotational off between Monday to Thrusday),6 monthsto3 yrs experience,Kaikondrahalli,,
Above 18 yrs,Excellent English skills - Ability to Speak     Fluent Hindi skills - Ability to Speak,Photos     Voter ID     Pan Card     Aadhar Card,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,,,,Freshers can Apply,Kolkata,,
18 - 35 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak,Aadhar Card     Photos,12th pass preferred,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,10:00 AM - 5:30 PM(day shift),ConfidenceCustomer RetentionCompulsory      Computer Awareness,6 days  (1),Freshers can Apply,Vashi,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
24 - 38 yrsCompulsory,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Good Hindi skills - Ability to Speak     Good English skills - Ability to Speak,Aadhar Card     Photos,10th pass preferred,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,10:00 AM - 5:30 PM(day shift),Computer AwarenessConfidenceCompulsory,6 days  (1),Freshers can Apply,Andheri West,,
18 - 34 yrs,Good Hindi skills - Ability to Speak,,12th pass preferred,Freshers as Logistics Operation Executive preferred,,Full Time,,,,6 days,Freshers can Apply,Topsia,,
18 - 39 yrsCompulsory,,,12th pass preferred, 6 months to 2 yrs of experience as Customer Care in BPO / ITES preferred,,Full Time,,1:30 PM - 9:30 PM(day shift),,5 days  (saturday and sunday),6 monthsto2 yrs experience| Resume Required,Park Street area,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,,,12th pass preferred,Freshers as Customer Care or Telesales / Telemarketing in Banking / Financial Services / Insurance or BPO / ITES preferred,,Full Time,,,,5 days,Freshers can Apply,Vashi,,
18 - 35 yrs,Functional English skills - Ability to Speak     Good Hindi skills - Ability to Speak,Aadhar Card     Photos,12th pass preferred,Freshers as Customer Care in BPO / ITES preferred,Full Time,,10:00 AM - 5:30 PM(day shift),ConfidenceCompulsory      Computer Awareness,5 days  (2),Freshers can Apply,Bhandup West,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak,Photos     Voter ID     Pan Card     Aadhar Card,10th pass preferred, 6 months to 1 yr of experience as Customer Care in Aviation / Airlines preferred,Full Time,candidates are hiring in direct payroll company     candidate should bring any one original id proof,11:00 AM - 6:00 PM(day shift),good communication skillCompulsory      WELL GROOMED,6 days  (1),6 monthsto1 yr experience,Dum Dum,,,
18 - 28 yrs,,,10th pass preferred,0 to 1 yr of experience as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceDedicationCustomer RetentionCompulsory      DedicationLocal AwarenessMS WordCustomer Retention,6 days,Freshers can Apply1 yr experience,Indirapuram,,,
18 - 35 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak,Aadhar Card     Photos,12th pass preferred,Freshers as Customer Care in BPO / ITES preferred,Full Time,,10:00 AM - 5:00 PM(day shift),Computer AwarenessCompulsory      Confidence,6 days  (1),Freshers can Apply,Mulund West,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,,,Freshers can Apply,Thane,,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrsCompulsory,Good English skills - Ability to SpeakCompulsory,Pan CardCompulsory      Aadhar Card,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,Full Time,,10:00 AM - 7:00 PM(day shift),,6 days  (1),Freshers can Apply| Resume Required,Thane,,,
18 - 35 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak,Aadhar Card     Photos,12th pass preferred,Freshers as Customer Care in BPO / ITES preferred,Full Time,,10:30 AM - 5:30 PM(day shift),Computer AwarenessConfidenceCompulsory,6 days  (1),Freshers can Apply,Mumbai Central,,,
18 - 27 yrs,Good Hindi skills - Ability to Speak,,12th pass preferred,Freshers as Office Assistant preferred,Full Time,,,Confidencefacility managementCompulsory,6 days,Freshers can Apply,Jadavpur,,,
18 - 30 yrs,Functional English skills - Ability to Speak     Good Hindi skills - Ability to Speak,,12th pass mandatoryCompulsory,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,,Full Time,candidates are not allowed with medical issue     candidates must bring all documents,10:00 AM - 6:00 PM(day shift),good communication skillCompulsory      WELL GROOMED,,Freshers can Apply 6 months experience,Newtown,,
18 - 30 yrsCompulsory,Functional English skills - Ability to Speak     Functional Hindi skills - Ability to Speak,,12th pass mandatoryCompulsory,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,,Full Time,candidates are not allowed with medical issue     candidates must bring all documents,11:30 AM - 5:30 PM(day shift),good communication skillCompulsory      WELL GROOMED,,Freshers can Apply 6 months experience,Dum Dum,,
18 - 31 yrs,Good Hindi skills - Ability to Speak,,12th pass preferred,Freshers as Data Collection Executive preferred,,Full Time,,,,6 days,Freshers can Apply,Bhubaneswar,,
18 - 28 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Fluent English skills - Ability to SpeakCompulsory,Pan CardCompulsory,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,11:00 PM - 8:00 AM(day shift)  9:00 PM - 6:00 PM(day shift)  12:00 PM - 8:00 PM(day shift)  10:00 AM - 7:00 PM(day shift)  9:30 AM - 6:30 PM(day shift),,6 days  (1),Freshers can Apply,Ghansoli,,
25 - 33 yrsCompulsory,Fluent Tamil skills - Ability to SpeakCompulsory      Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Functional Hindi skills - Ability to Speak,,12th pass preferred,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),,6 days  (Sunday),Freshers can Apply,Sector 62,,
18 - 30 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to Speak,Marksheets and Degree     Photos     Voter ID     Passport     Pan Card     Aadhar Card,10th pass preferred,Freshers as Customer Care preferred,,Full Time,,11:00 AM - 1:30 PM(day shift),Quantitative AptitudeConfidencePersonal GroomingCompulsory      Computer AwarenessConfidence,6 days,Freshers can Apply,Rajarhat,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrsCompulsory,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,,,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),DedicationLocal AwarenessMS WordCompulsory      Computer AwarenessDedicationLocal AwarenessMS Word,6 days,Freshers can Apply,Anand Vihar,,,
18 - 29 yrs,,,10th pass preferred, 6 months to 1 yr of experience as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceCustomer RetentionCompulsory      ConfidenceDedicationLocal AwarenessCustomer Retention,6 days|Off Days:Sunday,6 monthsto1 yr experience,New Delhi,,,
Above 18 yrs,Good Hindi skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,,6 days,Freshers can Apply,CP,,,
18 - 28 yrs,,,10th pass preferred,0 to 6 months of experience as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),ConfidenceDedicationCustomer RetentionCompulsory      ConfidenceDedicationLocal AwarenessCustomer Retention,6 days,Freshers can Apply 6 months experience,Ballabgarh,,,
18 - 28 yrs,Fluent Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Functional English skills - Ability to Speak     Functional Hindi skills - Ability to Speak,,12th pass preferred,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,Full Time,,10:00 AM - 6:00 PM(day shift),GOOD COMMUNIACTIONCompulsory,6 days  (1),Freshers can Apply 6 months experience,Dum Dum,,,
18 - 30 yrs,,,Below 10th allowed     Bachelor of Commerce (B.Com.) preferred,0 to 6 months of experience as Customer Care in BPO / ITES preferred,Full Time,,9:30 AM - 6:30 PM(day shift)  9:30 AM - 6:30 PM(day shift),,5 days,Freshers can Apply 6 months experience| Resume Required,HSR Layout,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,,,10th pass preferred,0 to 6 months of experience as Customer Care in BPO / ITES preferred,,Part Time,,,10:00 AM - 6:00 PM(day shift),DedicationLocal AwarenessMS WordPersonal GroomingCompulsory      DedicationLocal AwarenessMS WordCustomer Retention,6 days,Freshers can Apply 6 months experience,Sector 14,
18 - 30 yrs,Good English skills - Ability to SpeakCompulsory      Fluent Kannada skills - Ability to SpeakCompulsory      Fluent Tamil skills - Ability to SpeakCompulsory,,12th pass mandatoryCompulsory,Freshers as Customer Care preferred,,Full Time,,,,,6 days,Freshers can Apply,Alwal,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good English skills - Ability to Speak & Read     Good Hindi skills - Ability to Speak & Read,,10th pass preferred,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,,Full Time,,,10:00 AM - 7:00 PM(day shift),Customer RetentionCompulsory,6 days,Freshers can Apply 6 months experience,Dum Dum,
18 - 28 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 19 yrsCompulsory,Good English skills - Ability to SpeakCompulsory,Marksheets and Degree     Aadhar Card     Pan Card,Below 10th allowed, 6 months to 1 yr of experience as Customer Care preferred,,Full Time,,,9:30 AM - 7:00 PM(day shift),ConfidenceCompulsory      Customer Retention,6 days,6 monthsto1 yr experience| Resume Required,Begumpet,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
18 - 32 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak     Good Bengali skills - Ability to Speak,,12th pass preferred,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),DedicationPersonal GroomingCompulsory,6 days,Freshers can Apply 6 months experience| Resume Required,Garia,
19 - 38 yrsCompulsory,Excellent English skills - Ability to SpeakCompulsory,Pan CardCompulsory      Aadhar CardCompulsory,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,,ConfidenceCompulsory,6 days,Freshers can Apply,Thane West,
18 - 40 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak,,Below 10th allowed,Freshers as Customer Care in Recruitment / Staffing / RPO preferred,,Full Time,,,9:00 AM - 6:00 PM(day shift),Computer AwarenessCompulsory      Confidence,6 days  (Sunday),Freshers can Apply| Resume Required,Fort Mohalla,
18 - 29 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
